"고유번호","구명","법정동명","산지여부","주지번","부지번","새주소명","시설명","운영기관","설립주체","시설구분","개관일","면적","홈페이지주소","연락처","생성일","경도","위도"
"21","구로구","구로3동","1","777","1","구로구 디지털로 27다길 65 2층","꿈마을 도서관","구로구 시설관리공단"," ","구립도서관","2007-04-05","476.00000000","lib.guro.go.kr/dreamtown/","830-5807"," ","126.8901147","37.4872202"
"22","용산구","후암동","1","30","84","용산구 후암동 30-84","남산 도서관"," "," ","교육청도서관","1922-10-05","0E-8","lib.sen.go.kr/lib_index.jsp"," "," ","126.9813754","37.5526641"
"23","중구","신당동","1","844"," ","중구 다산로 32","남산타운 문화체육센터 어린이도서관","시설관리공단"," ","구립도서관","2010-04-01","273.80000000","www.e-junggulib.or.kr","02-2280-8520"," ","127.0092967","37.5490198"
"24","노원구","상계10동","1","686"," ","노원구 온곡길 21","노원 정보도서관","노원 교육복지재단"," ","구립도서관","2006-02-15","6526.00000000","www.nowonlib.kr","02-950-0029"," ","127.0641766","37.6609272"
"25","노원구","중계3동","1","508"," ","노원구 중계3동 508","노원 평생학습관"," "," ","교육청도서관","1990-05-08","0E-8","lib.sen.go.kr/lib_index.jsp"," "," ","127.0671201","37.6401198"
"26","영등포구","여의도동","1","1"," ","영등포구 여의도동 1","국회 도서관"," "," ","국립도서관","1988-02-20","28099.00000000","www.nanet.go.kr/"," "," ","126.9154463","37.5310184"
"27","강남구","논현동","1","114","24","강남구 학동로북32길 17 6층","논현 도서관","(사)작은도서관 만드는 사람들"," ","구립도서관","1997-09-10","450.00000000","library.gangnam.go.kr","02-3443-7650"," ","127.0372538","37.5172967"
"28","강남구","논현동","1","58","13","강남구 학동로 169-1","논현 정보도서관","(사)작은도서관 만드는 사람들"," ","구립도서관","2003-07-09","707.00000000","library.gangnam.go.kr","02-515-1178"," ","127.0293224","37.5138831"
"29","영등포구","대림3동","1","608","2","영등포구 도신로 27","대림 정보문화 도서관","영등포구 도시시설관리공단"," ","구립도서관","2008-01-22","1945.86000000","www.dllib.or.kr","02-2670-4165"," ","126.8961134","37.5043064"
"30","도봉구","도봉1동","1","577"," ","도봉구 도봉1동 577 (도봉산길 175)","도봉1동 어린이도서관","(사)한국어린이 도서관 협회"," ","구립도서관","2011-03-18","276.00000000","개설중","02-3492-0078"," ","127.0428925","37.6830061"
"31","도봉구","창동","1","418"," ","도봉구 덕릉로 315","도봉 문화정보센터","도봉문화원"," ","구립도서관","2001-10-09","3111.00000000","http:dobonglib.seoul.kr","02-900-1835"," ","127.0439924","37.6446234"
"32","도봉구","창동","1","808","1","도봉구 자운길 51","도봉 어린이문화정보센터","도봉문화원"," ","구립도서관","2008-04-17","1446.00000000","http:www.kidlib.dobong.kr","02-995-4171"," ","127.0495252","37.6590604"
"33","동대문구","청량리동","1","206","19","동대문구 회기로10길 60","동대문구 정보화도서관","동대문구 시설관리공단"," ","구립도서관","2006-06-29","3094.00000000","www.l4d.or.kr"," "," ","127.0470717","37.5897125"
"34","동대문구","신설동","1","109","4","동대문구 신설동 109-4","동대문 도서관"," "," ","교육청도서관","1971-03-31","0E-8","lib.sen.go.kr/lib_index.jsp"," "," ","127.0244416","37.5734481"
"35","동작구","노량진2동","1","310","150","동작구 노량진2동 310-150","동작 도서관"," "," ","교육청도서관","1991-05-06","0E-8","lib.sen.go.kr/lib_index.jsp"," "," ","126.9401862","37.505941"
"36","동작구","상도1동","1","514"," ","동작구 매봉로 37","동작 상도국주도서관","동작구 도시시설관리공단"," ","구립도서관","2009-10-29","525.00000000","lib.dongjak.go.kr/","02-813-6750"," ","126.9510154","37.5068307"
"37","동작구","노량진2동","1","225","161","동작구 장승배기로 16길 98","동작 어린이도서관","(사)뉴서울 자원봉사 은행"," ","구립도서관","2008-02-12","444.00000000","lib.dongjak.go.kr"," "," ","126.9435076","37.509247"
"38","마포구","서교동","1","341","1","마포구 서교동341-1","마포 평생학습관"," "," ","교육청도서관","1995-06-22","0E-8","lib.sen.go.kr/lib_index.jsp"," "," ","126.9242601","37.5542748"
"39","마포구","아현동","1","602","1","마포구 아현동 602-1","마포 평생학습 아현 분관"," "," ","교육청도서관","1980-08-20","0E-8","lib.sen.go.kr/lib_index.jsp"," "," ","126.9572509","37.5538813"
"40","강동구","명일동","1","341","2","강동구 명일동 341-23","명성교회 도서관","명성교회"," ","사립도서관","2005-10-19","321.00000000","www.mslib.or.kr/"," "," ","127.1462857","37.5469102"
"41","양천구","목동","1","909","3","양천구 목동동로 407-2","목마 작은도서관","양천구 (목5동 주민센터)"," ","구립도서관","2009-07-20","461.00000000","lib.yangcheon.go.kr/","2652-8910"," ","126.8845477","37.5380496"
"42","은평구","진관동","1","15","19","은평구 진관동 은평뉴타운 상림마을 15-19","상림마을 작은도서관","사회복지법인 인덕원"," ","구립도서관","2009-09-23","311.00000000","www.eplib.or.kr/action/small_lib/intro.php","383-7557~8"," ","126.9288643","37.6441855"
"43","성북구","정릉동","1","227","176","성북구 서경로 94-1","서경로 꿈마루 도서관","느티나무 도서관재단"," ","구립도서관","2011-07-29","125.98000000","dreammaru.sblib.seoul.go.kr","02)6925-0300"," ","127.013878","37.6114642"
"44","서대문구","현저동","1","101"," ","서대문구 현저동 성산로 695-80","서대문구립 이진아 기념도서관","서대문구 도시관리공단"," ","구립도서관","2005-09-15","2756.00000000","www.sdmljalib.or.kr","02)360-8615"," ","126.9561863","37.5742189"
"45","서대문구","남가좌동","1","342","34","서대문구 증가로10길 16-15","서대문 남가좌 새롬 어린이도서관","서대문구 도시관리공단"," ","구립도서관","2010-05-07","674.00000000","www.sdmljalib.or.kr","02)360-8674"," ","126.9240523","37.5783461"
"46","서대문구","연희3동","1","1","116","서대문구 연희3동 1-116","서대문 도서관"," "," ","교육청도서관","1986-12-18","0E-8","lib.sen.go.kr/lib_index.jsp"," "," ","126.9409449","37.5833349"
"47","성동구","행당동","1","142","4","성동구 행당동 142-4","성동구립 도서관","성동구 도시관리공단"," ","구립도서관","1999-04-23","5692.00000000","www.sdlib.or.kr","02)2204-6421"," ","127.0349464","37.5592205"
"48","성동구","용답동","1","95","1","성동구 용답동 95-1","성동구립 용답 도서관","성동구 도시관리공단"," ","구립도서관","2007-01-24","1483.00000000","https://www.sdlib.or.kr/YD","02)2204-6471"," ","127.0514013","37.566794"
"49","성북구","상월곡동","1","24","348","상월곡동 화랑로 18자길 13","성북 정보도서관","성동구 도시관리공단"," ","구립도서관","2002-03-19","6667.00000000","www.sblib.go.kr","070-8644-8043"," ","127.0507685","37.6050106"
"50","관악구","봉천동","1","1703","1","관악구 관악로37길 56","성현동 작은도서관","관악문화원"," ","구립도서관","2006-02-28","329.00000000","www.gwanakcullib.seoul.kr","02-877-7182"," ","126.9561938","37.4879038"
"51","송파구","잠실3동","1","44","4","송파구 석촌호수길 155","소나무언덕 2호 작은도서관","한국 지역사회교육 협의회"," ","구립도서관","2009-02-26","330.00000000","www.spclib.or.kr","02-424-0780"," ","127.0942417","37.5072611"
"52","송파구","마천동","1","325","5","송파구 성내천로319","소나무언덕 3호 작은도서관","청소년 교통문화재단"," ","구립도서관","2009-12-21","343.00000000","www.splib.or.kr","443-0130"," ","127.1566588","37.4923438"
"53","송파구","잠실동","1","306"," ","송파구 탄천동로 211","소나무언덕 잠실본동 작은도서관","한국 지역사회교육협의회"," ","구립도서관","2011-11-16","510.00000000","www.splib.or.kr","02-412-0750"," ","127.0788864","37.5031104"
"54","강북구","삼양동","1","1354","4","강북구 솔샘길 160","솔샘 문화정보센터","강북구 도시관리공단"," ","구립도서관","2005-10-04","944.91000000","www.gangbuklib.seoul.kr","944-3150 (944-3152)"," ","127.0124531","37.6204648"
"55","강북구","송중동","1","138","11","강북구 오솔1길 13","송중 문화정보센터","강북구 도시관리공단"," ","구립도서관","2010-03-02","511.25000000","www.gangbuklib.seoul.kr","944-3160 (944-3161)"," ","127.0299963","37.6183286"
"57","송파구","오금동","1","51"," ","송파구 오금동 51","송파 도서관"," "," ","교육청도서관","1994-12-14","0E-8","lib.sen.go.kr/lib_index.jsp"," "," ","127.132203","37.5020202"
